session_key,has_3view_videos,has_nonempty_sheet,included,cams_found
010626F1,True,True,True,"side1,side2,up"
010626F1_B,True,True,True,"side1,side2,up"
010626F2,True,True,True,"side1,side2,up"
010626F2_B,True,True,True,"side1,side2,up"
010626M1,True,False,False,"side1,side2,up"
010626M1_B,True,False,False,"side1,side2,up"
010626M2,True,False,False,"side1,side2,up"
010626M2_B,True,False,False,"side1,side2,up"
112625F1,True,True,True,"side1,side2,up"
112625F1_B,True,True,True,"side1,side2,up"
112625M1,True,True,True,"side1,side2,up"
112625M1_B,True,True,True,"side1,side2,up"
112625M2,True,True,True,"side1,side2,up"
112625M2_B,True,True,True,"side1,side2,up"
112725F2,True,True,True,"side1,side2,up"
112725F2_B,True,True,True,"side1,side2,up"
120725F1,True,True,True,"side1,side2,up"
120725F1_B,True,True,True,"side1,side2,up"
120725F2,True,True,True,"side1,side2,up"
120725F2_B,True,True,True,"side1,side2,up"
120725M1,True,True,True,"side1,side2,up"
120725M1_B,True,True,True,"side1,side2,up"
121125F1,True,True,True,"side1,side2,up"
121125F1_B,True,True,True,"side1,side2,up"
121125M1,True,True,True,"side1,side2,up"
121125M1_B,True,True,True,"side1,side2,up"
121125M2,True,True,True,"side1,side2,up"
121125M2_B,True,True,True,"side1,side2,up"
121225F1,True,True,True,"side1,side2,up"
121225F1_B,True,True,True,"side1,side2,up"
121225F2,True,True,True,"side1,side2,up"
121225F2_B,True,True,True,"side1,side2,up"
121225M1,True,True,True,"side1,side2,up"
121225M1_B,True,True,True,"side1,side2,up"
121325M1,True,True,True,"side1,side2,up"
121325M1_B,True,True,True,"side1,side2,up"
121325M2,True,True,True,"side1,side2,up"
121325M2_B,True,True,True,"side1,side2,up"
121325M3,True,True,True,"side1,side2,up"
121325M3_B1,False,True,False,
Seizure Stage,False,True,False,
